id,date,content,topic,sentiment
1.47E+18,2021-12-01 09:27:39+00:00,"I'm furious @CV_UHB .
My wife is currently in the SAU ward and there is a patient in the next bed who is ""COVID +"".
My wife had many underlying conditions.
Is doesn't take a genius to realise the issue here. @PrifWeinidog @WelshGovernment",RE,negative
1.47E+18,2021-12-01 09:27:39+00:00,"@RonShamgar It’s about the “double close” Ron to get the last dissenters to cop the vax.  Like when you buy a car, and the negotiated price is a deal, but the get the manager out just to convince you to pay another $500.  There’s not far to go now…",VA,negative
1.47E+18,2021-12-01 09:27:38+00:00,Same here - it’s miserable but still not as bad as Covid! https://t.co/Xt6GvUlG0N,SV,positive
1.47E+18,2021-12-01 09:07:35+00:00,"@alkcheet @FionaSi05717634 @Citizen_O_World @Trisha_the_doc @AdamBienkov Is that what you numpteys think now?  that people who've had the Jab have had Covid? Haha. You lot really do show your lack of intelligence, now go lay down before you hurt yourself. Stupid nut jobs!",VA,positive
1.47E+18,2021-12-01 09:07:35+00:00,Female shopper SPITS on retail worker in shocking video as aggressive over Covid rules grows https://t.co/Cs88iJNtju,RE,negative
1.47E+18,2021-12-01 09:07:34+00:00,"In 2020 the flu got re-named to covid 19, the media played the role of the propagandist spouting all kinds of fear of a pandemic, the goal was to create enough fear to get ppl to take a trial mRNA 💉 released on emergency grounds with no liability attached to the 💉 makers!!",VA,negative
1.47E+18,2021-12-01 09:07:34+00:00,@Mamareign12 @TomTaft @campain_ @GNev2 I lost my aunt to cancer to keep people covid safe.. everyone has a story. Get a grip,RE,positive
1.47E+18,2021-12-01 09:07:34+00:00,everyone get vaccinated already!!!! https://t.co/4LlKRP8GIe,VA,positive
1.47E+18,2021-12-01 09:07:33+00:00,"#FastestGrowingEconomy
India's GDP grew at 8.4% in Jul-Sep quarter, making India the fastest growing economy. Consistent reforms to address core issues and bold decision-making during the Covid-19 pandemic have paid off.
via NaMo App",RE,positive
1.47E+18,2021-12-01 09:07:33+00:00,With all of these covid distancing no waiting in the waiting room policies and laws I would imagine that there would be some kind of regulation in place to insist that receptionists have to put people on a cancellation list so that people that are in urgent need of a doctor can.,RE,negative
1.47E+18,2021-12-01 09:07:33+00:00,I’ve just written to my Local MP. It’s important we ensure they hear what we think about Vaccine Passports. Please write to yours too here: https://t.co/9dTEUNX3Vp  https://t.co/9dTEUNX3Vp,RE,negative
1.47E+18,2021-12-01 09:07:33+00:00,"@STWorg @ProfColinDavis @SciBeh 🇬🇧State Covid Redress Scheme: How much is it going to cost? Am no accountant... ✏️🧮: 1.4m 👶🏽🧒🏽 &amp; 5m grown-ups PREVENTABLY infected since May 2021 by a neurotrophic virus... + Infected families...= £765,345,432,154,453.12 in 2030 money. That's £500t in today's money. @dgurdasani1 https://t.co/kAcb12yytf",SV,negative
1.47E+18,2021-12-01 09:07:33+00:00,"Despite Variants, Singapore’s COVID-19 Strategy on Track https://t.co/vm60vlBvcz",RE,positive
1.47E+18,2021-12-02 21:18:06+00:00,@cliftonaduncan @MailOnline More good news for Pfizer ….https://t.co/3EUU1GrhnW,VA,positive
1.47E+18,2021-12-02 21:18:06+00:00,"The Denver Post: Omicron variant of COVID-19 found in Colorado; woman recently returned from southern Africa The Denver Post: Omicron variant of COVID-19 found in Colorado; woman recently returned from southern Africa.
https://t.co/ZyuZ9lcDKR",SV,neutral
1.47E+18,2021-12-02 21:18:06+00:00,"The NFL suspended 3 players today for not being truthful about their vaccinations, none of those players was Aaron Rodgers … who said he was vaccinated but in fact was not vaccinated, he was gifted a fine instead …",CU,neutral
1.47E+18,2021-12-02 21:18:06+00:00,@Mediaite Oh you mean like vaccine CHOICE right lol. Hypocrite. This show is so dumb.,VA,negative
1.47E+18,2021-12-02 21:18:06+00:00,"@WendyGoodes @fordnation Ignoring #EngineeringScience who r experts in #CovidIsAirborne #HVAC upgrades, #MERVFilters #HEPAUnits #ParticulateMeasuring #N95 #FreshAirExchange #Vaccines #Antivirals Y is this science being suppressed? Dec 7 11AM EST Webinar Frank Carnevale LinkedIn sign up or JESleeth LI",PO,negative
1.47E+18,2021-12-02 21:18:06+00:00,Antivaxxers be using that “I work in a hospital/health care facility…” as a reason why their bad takes on the Covid vax are valid like baby you just push the lunch cart,VA,positive
1.47E+18,2021-12-02 21:18:06+00:00,"🚨🚨🚨🚨🚨🚨🚨
Court rejected Pfizer’s request to keep jab info hidden for 55 years. They said no and the first 30 pages have been released!

#pfizergates 1223 dead &amp; thousands injured in first 90 days. https://t.co/wvKQsrDlno",VA,negative
1.47E+18,2021-12-02 21:18:06+00:00,"In South Africa, cases of the new omicron variant of Covid-19 are continuing to surge, as the world waits to see how seriously it should take this new development. https://t.co/lQcUMX10Je entrepreneur entrepreneurial workonline",SV,neutral
1.47E+18,2021-12-02 21:18:06+00:00,No games this weekend for the Celts due to COVID &amp; injuries 🙈 Thank god we can still scrape a team for @FnfLiverpool @LifestylesGym Our boy's have loved the Futsal thanks to @dengodiver @wazzawardle @stuc23605208 ⚽🙌🏻 #UpTheCelts https://t.co/ny8VVfSkZH,CU,neutral
1.47E+18,2021-12-02 21:18:06+00:00,Michigan election official who refused to certify result for Biden dies of Covid https://t.co/y8bRRek5Rh,PO,neutral
1.47E+18,2021-12-02 08:07:35+00:00,"The whole world should stop dealing with Covid like Kerala has and do as UP does, it's almost perfect. #OmicronVarient",RE,neutral
1.47E+18,2021-12-02 08:07:34+00:00,No deaths in NSW as state's COVID cases jump again https://t.co/MiWhUooMOy,SV,neutral
1.47E+18,2021-12-02 08:07:34+00:00,"Caring for a wound after injury or surgery doesn’t need the hassle of going to the hospital each time. We have well trained nurses to help you take care of that at home and so much more.
Contact us today for angelic care😇!#Nursing #MedTwitter #caregiver #Covid_19 https://t.co/COsAj3gOMn",CU,positive
1.47E+18,2021-12-02 08:07:34+00:00,@robreiner And there two words that voted for Biden the Buffoon that permitted illegals to run across our border with Covid contributing to the spread of the virus.  And completely “F” up the withdrawal of Afghanistan.   Those two words are Rob Reiner and other clueless clowns I know.,RE,negative
1.47E+18,2021-12-02 08:07:34+00:00,@thatreviewplace @johnmwking @CraigKellyMP recall the vaccine...,VA,negative
1.47E+18,2021-12-02 08:07:33+00:00,Do #Vaccine Mandates Actually Work? https://t.co/dnxwo2qfg1,RE,neutral
1.47E+18,2021-12-02 08:07:33+00:00,KZN premier in self-isolation after contact with Covid-19 positive person: KwaZulu-Natal premier Sihle Zikalala is in self-isolation as a precaution but has not presented with any symptoms. https://t.co/ahgDjeZvBi,SV,neutral
1.47E+18,2021-12-02 08:07:32+00:00,"New story on NPR: Marcus Lamb, the Christian broadcaster who discouraged vaccines, dies from COVID-19 https://t.co/xvuAhYXZth",PO,neutral
1.47E+18,2021-12-02 08:07:32+00:00,CDC confirms first U.S. case of omicron Covid variant has been detected in California https://t.co/boHFXHurum,SV,neutral
1.47E+18,2021-11-30 12:43:28+00:00,"@Platinum_1_Q @trombone_tony @susankennedy141 @RevRJD @taz81 You got 1 vaccine for polio, 1 for hepatitis A and one for hepatitis B. Why 3 vaccines if they are the same virus?",VA,positive
1.47E+18,2021-11-30 12:43:28+00:00,Munster confirm nine further Covid-19 positives https://t.co/OURKsa5IAl,SV,neutral
1.47E+18,2021-11-30 12:43:28+00:00,"Community transmission and viral load kinetics of the SARS-CoV-2 delta (B.1.617.2) variant in vaccinated and unvaccinated individuals in the UK: a prospective, longitudinal, cohort study https://t.co/Hi6hPhwe12",SV,neutral
1.47E+18,2021-11-30 12:43:28+00:00,"@SteveDeaceShow They deferred or were prevented from obtaining necessary healthcare because of covid lockdowns and are now paying the price may be part of it. Just conjecture, and think we definitely need to dig into this alarming statistic.",RE,negative
1.47E+18,2021-11-30 12:43:27+00:00,"This actually scares me, especially with the Omnicron variant.

Get vaccinated, 1st, 2nd, 3rd dose and wear a mask. https://t.co/63V1BwQFuW",VA,positive
1.47E+18,2021-11-30 12:43:27+00:00,what we see here is proof that vaccines shouldnt be made mandatory one should choose if they want to die of covid or vaccine https://t.co/xdcc3J5G6V,VA,negative
1.47E+18,2021-11-30 12:43:27+00:00,"Head was v sympathetic to our position. He outlined the covid measures currently in place. But was clear that, yes, a sibling of a child w covid still has the right to come to school. School can only ‘encourage’ parents to test.",RE,neutral
1.47E+18,2021-11-30 12:43:27+00:00,"@DrKellyVictory @Thetwilightkid9 FACTS: #CovidVaccines do not prevent the spreading or transmission of the #virus

Healthy non-vaxx’d adults have a 99.7% survival rate

The U.S. #COVID19 mortality rate is .22% of the entire population

If you still feel you need the #vaccine, GO FOR IT!",VA,negative
1.47E+18,2021-11-30 12:43:27+00:00,"@POTUS It should never be referred to as a VACCINE! Your misleading the human race. Your giving people a false sense of security. Fact!  The correct terminology is the COVID-19 Shot. Fact! If people are contracting Covid-19 multiple times or more, it’s not a vaccine. I wish it were.",VA,negative
1.47E+18,2021-12-02 03:22:25+00:00,"Christian television network founder and preacher Marcus Lamb, who discouraged vaccinations, dies after being hospitalized for Covid-19  https://t.co/JU2SpZXiw7",PO,neutral
1.47E+18,2021-12-02 03:22:25+00:00,"@MayorAdler Protecting children from what? Everyone can easily make their own decisions. Wear a mask if you want, get a vax if you want. Enough w/ using Covid (98% recovery rate) as a political tool. U R a piece of sh*t who cares more about politics than the betterment of our city.",PO,negative
1.47E+18,2021-12-02 03:22:25+00:00,"@CassyWearsHeels 🇧🇷Covid19 killer vaccines increased the number of heart attacks in Brazil by more than 80,000 after vaccination. In 2019, 289 thousand people were killed and in just 11 months of 2021 there are already more than 370 thousand dead. https://t.co/0Z8d2nj80g",VA,negative
1.47E+18,2021-12-02 03:22:25+00:00,"COVID-19: What you need to know about the coronavirus pandemic on 1 December
https://t.co/qLD2VMZhu2",SV,neutral
1.47E+18,2021-12-02 03:22:24+00:00,@pseudofijian Does that mean our bureaucracy is way more efficient than Singapore or that it doesn't really care about covid safety?🤔,RE,neutral
1.47E+18,2021-12-02 03:22:24+00:00,"@KMejaki @LB639 @DoctorOntario It diminishes our Society. Crime has spiked across the country.

Media only writes about covid, climate and catastrophe.

Public Health wantonly closing segments of the economy and sowing chaos in millions of lives. 

Politicians using crisis &amp; emergency to bypass parliament.",PO,negative
1.47E+18,2021-12-02 03:22:24+00:00,"@DoubIeDizzIe @TerriersVu @Shorty56167141 @Soulshaker007 @fallen3283 @BYounger13 @santanamary @LinSD13 @solatticus @SprtSkye @hvnacuba76 @TitanessTheia @RondaGLarson @CCoock2 @littlelight39x @JosephWeger @me21freed @_Resolute1 @Michael84443053 @OpticTrc @fairfield_iowa @pocketonashirt @Chas_ISHumbled @Ron7350 @DavidVa00965188 @jaim_harlow @_recKordz @RaeAnon @99FtGrl @GubnaElectkimmy @RodUstra @GFiftiwan @DeeCatt55 @cheshirejr @mind_vince @shellys53523424 @cups_queen0f @smilersimonuk @nasty1_not @PepeNoLikeJack2 @SpaceMa54682767 @Bryan12879262 @ELFherselfagain @Viper_Siren @DoubleDForever1 @aime3verde @USAFirstTRUMP @mikepfingston2 @lorrayneNJ @teamuprgc25 This equals the T virus. Wink, wink, hint, hint. All the vaccines do is send instructions via D@RPA-made hydrogels into our cells to instruct our ribosomes to make a specific sequence of amino acids that make a polypeptide (a protein), THE spike protein. 

https://t.co/btluWxufVi",VA,negative
1.47E+18,2021-12-02 03:22:24+00:00,@justokay34 @EmHockeydoc65 @DetroitRedWings Your argument proves my point lol. There are 4/5 times as many people vaccinated as unvaccinated. Which means that’s 369 out of y compared to 336 out of 4y. So in a larger pool of possible people there are less getting sick. How don’t you get this? https://t.co/XiLvv9HXeB,VA,positive
1.47E+18,2021-12-02 03:22:24+00:00,Really can't get over how we're being forced to listen to grandstanding about the sanctity of life from the same people who constantly ignore school shootings and Covid.,CU,negative
1.47E+18,2021-12-01 04:37:10+00:00,"@INCIndia Please help UPSC CSE aspirants.Due to 2 COVID waves of 2020,2021 women became Primary Caregivers;Domestic Helps were not available at lockdown.COVID warriors were denied leaves to prepare for exam.
#SatyagrahaAtJantarMantar
#UPSCExtraAttempt
#2YearsRelaxationForAll",CU,neutral
1.47E+18,2021-12-01 04:37:10+00:00,@zimlive The logic is to limit people coming for Christmas holiday. Last year covid infections rose significantly after Christmas and New Year holidays.,RE,positive
1.47E+18,2021-12-01 04:37:10+00:00,"@ZeroCovfefe @WilliamBHoenig @ajlamesa I’ve already been there…if this variant evades vaccines, I’ll probably check myself into a mental health ward for treatment until the spring! Can’t do an isolated winter",RE,negative
1.47E+18,2021-12-01 04:37:10+00:00,@BhatkhalkarA Sir have you raised your voice for tughlaki farman of MH Govt that one can not use public transport unless fully vaccinated?,RE,neutral
1.47E+18,2021-12-01 04:37:09+00:00,@JoeBiden the vaccine works joe 😄,VA,positive
1.47E+18,2021-12-01 04:37:09+00:00,"@globalwinnipeg You need to start adding “vaccinated” or “unvaccinated “.  For example, “Another 4 unvaccinated Manitobans have died” or “another 4 vaccinated Manitobans have died”. I want the full story. Not your narrative.",PO,negative
1.47E+18,2021-12-01 04:37:09+00:00,@DrOz Didn’t you encourage people not to get vaccinated?,CU,negative
1.47E+18,2021-12-01 04:37:09+00:00,"Amazing, maybe @unlv_president and @UNLVathletics change the vax policy starting in December. Don't force the vax on children. https://t.co/QN95OaNCPG",VA,negative
1.47E+18,2021-12-02 05:17:57+00:00,@BarneyFlames @tszzl Boosters ? We don't even need the second dose. Look up numbers on one shot of moderna vs two. Basically doesn't pass any EV calculation for fit men below 40.,VA,negative
1.47E+18,2021-12-02 05:17:57+00:00,"@calhaskett @CNN Huh? All four people with Omicron were vaccinated.
👇🏽 https://t.co/AKt5WxoR1c",VA,negative
1.47E+18,2021-12-02 05:17:57+00:00,"U.N. seeks record $41 billion for aid to hotspots led by Afghanistan, Ethiopia 

#news, #breakingnews, #topnews, #today, #todaynews, #reuters, #europe, #americas, #middleeast, #asia, #africa, #politics, #latest, #covid, #BreakingHeadlines,

https://t.co/P4G5b0AjEV",PO,neutral
1.47E+18,2021-12-02 05:17:57+00:00,"Choreographer Shiva Shankar dies from Covid-19 complications; SS Rajamouli, Sonu Sood, Prabhudheva mourn https://t.co/Ct8SNYUFYb",CU,negative
1.47E+18,2021-12-02 05:17:57+00:00,Recently a lot of looting has been taking place and stores like Louis Vuitton are getting robbed as well. Could this be because of how COVID-19 is affecting the economy. #mchslang23 https://t.co/5tEYOrbKOP,CU,negative
1.47E+18,2021-12-02 05:17:56+00:00,"Time to have OMICRON parties.

Nature providing a Natural vaccine.

Thanks Nature.  After a billion years of confirmed success, I knew you’d do it! https://t.co/OWJyZhBjXb",SV,negative
1.47E+18,2021-12-02 05:17:56+00:00,@BedrosPLS @exitdave @jordanbpeterson Define 'experimental' as it relates to these vaccines.,VA,positive
1.47E+18,2021-12-02 05:17:56+00:00,"@JulesReedZABoy Death is an individual risk and vaccines are killing people. Who takes liability if you die from the vaxx?.

I'm sorry he took the vaxx over something that has a 99.98% recovery rate (cdc data) 

https://t.co/E2nKAdBVE8",VA,negative
1.47E+18,2021-12-01 01:28:00+00:00,"A Federal Judge just suspended Biden's mandate for all healthcare workers to be vaccinated.

This suspension is for all 50 States.  So you should be good.  If you get fired anyway, you now have a case to sue your employer.  Make sure they know that. https://t.co/qC5nliiAZP",RE,negative
1.47E+18,2021-12-01 01:28:00+00:00,@catturd2 And LeBron has COVID.  He won't be able to eject fans that offend him for a while.,CU,negative
1.47E+18,2021-12-01 01:28:00+00:00,"No need for mandatory Covid vaccines if more Pinoys get shots: Palace
https://t.co/M8yFkQCKoC https://t.co/Nti5PN5GuF",RE,negative
1.47E+18,2021-12-01 01:28:00+00:00,"@Mateoryback @ellymelly @ScottMorrisonMP ""Science"" you see, more important to protect everyone from all unvaccinated even uninfected than from the infected who are vaccinated. It is ""logical"" to propose more vaccination with the current vaccines to solve that the current vaccines don't work on Omicron. ""Logical"" right?",VA,negative
1.47E+18,2021-12-01 01:28:00+00:00,⁦@fordnation⁩  Your daughter is a complete disgrace to Ontario and we are so over her miss information about COVID-19. People need to share this video so they know not to vote you in next year. Doug Ford you’re out with your disgusting daughter https://t.co/xR2Wf4aUOm,PO,negative
1.47E+18,2021-12-01 01:27:59+00:00,"Covid news live: WHO advises vulnerable against travel over Omicron, Greece to fine those over 60 who refuse vaccine https://t.co/mTyHKXoGiX",RE,neutral
1.47E+18,2021-12-01 01:27:59+00:00,bro this moderna booster is fkn me up. i feel like j&amp;j i didn't have hardly any side effects besides being tired 😵‍💫,VA,neutral
1.47E+18,2021-12-01 01:27:59+00:00,"I am pro-vaccine but this is scandalous, what can possibly be the justification for mandatory jabs and, more so, why discriminate against the over 60's? I'm vaccinated but I would happily contribute to a fund to pay these fines on behalf of those that are not to keep their... https://t.co/V327s8yxIN",RE,negative
1.47E+18,2021-12-01 01:27:59+00:00,@JEChalmers The it’s not a race vax strollout recession …,RE,negative
1.47E+18,2021-12-01 07:34:02+00:00,"@doctor_oxford Truly devastating. What a dreadful waste. All caused by listening to the liars &amp; charlatans instead of scientists &amp; doctors.
Get off Facebook.
Get vaccinated.
Wear a mask.
Never vote Tory. https://t.co/Mn4j54bQ7s",VA,positive
1.47E+18,2021-12-01 07:34:02+00:00,"@let_aus @AlexHawkeMP @NickMcKim @tomwconnell @SBSPunjabi please provide Automatic extensions for 485 visa , who stuck offshore due to border closure of covid-19, till now no clarity  from Australian government. its been 21 months still we fighting for extension",CU,negative
1.47E+18,2021-12-01 07:34:02+00:00,I don't know which CEO of a supermarket or shop needs to hear this but I don't need another email on what you're doing about the new covid restrictions. Many thanks x,CU,negative
1.47E+18,2021-12-01 07:34:02+00:00,@rich_wiseman @Renee12Sears @JuliaHB1 There is no evidence that the vac will save anything like that many lives. There is evidence that people die after the vaccine; that makes it an avoidable risk,VA,negative
1.47E+18,2021-12-01 07:34:01+00:00,"@RWareNSE @DaftaryHet @abhijitmajumder Anyone (vaccinated or unvaccinated) can be a carrier of virus and spread to other vaccinated or unvaccinated people, hence testings are required !! What’s the logic that vaxxed persons should not be tested ?",RE,negative
1.47E+18,2021-12-01 07:34:01+00:00,@ScarletQuace @xxD_girlxx @Offie1963 @FreemanKim7 @Cath_Tyldesley And by having the vaccine how is that reducing the spread considering it’s still transmitted? It’s not rocket science,VA,negative
1.47E+18,2021-12-01 07:34:01+00:00,"@wings4wrd I’m so sorry.  My mom, brother, and I are just recovering from this crap, and both my mom and I were double vaccinated.  She had to stay in the hospital two nights (supposed to come home tomorrow).  It could have been worse, but I don’t feel as safe anymore…",SV,positive
1.47E+18,2021-12-01 07:34:01+00:00,"Quick map: Omicron B.1.1.529 variant spreads across the world. 👇

(Datasource: ECDC &amp; GISAID)
- https://t.co/lhSC9r3zVh
- https://t.co/ksLaGs0IjJ 
#variants #covid19 #Omicron #OmicronVariant #ecdc 

@IHME_UW @WHO @ECDC_Outbreaks https://t.co/xwDbROehZf",SV,neutral
1.47E+18,2021-12-01 07:34:00+00:00,Well the vaccine just has my arm sore but other than that we cool,VA,positive
1.47E+18,2021-12-01 07:34:00+00:00,@TheJordanRachel @JackPosobiec Oh...I'm sure it's all coming...once the power structure is established via covid submission.,CU,negative
1.47E+18,2021-12-01 12:54:30+00:00,"@catturd2 And double, triple, quadruple vaccinated.",VA,positive
1.47E+18,2021-12-01 12:54:30+00:00,Omicron booster: Will we need a shot that targets the mutated variant? https://t.co/UmuyNb1nMP,SV,neutral
1.47E+18,2021-12-01 12:54:30+00:00,"The economic experts said the only way our economy is going to recover is our defeat of covid. How do we do that? Vaccinations!  If you do not like inflation, lack of service - then convince people to get vaccinated.",VA,positive
1.47E+18,2021-12-01 12:54:30+00:00,"Severe Covid infection doubles chances of dying in following year, study finds
Research suggests serious bouts of illness with coronavirus may significantly damage long-term health https://t.co/IysYuPz77g",SV,neutral
1.47E+18,2021-12-01 12:54:30+00:00,"@thehill And he still looked for younger, healthier and more coherent than Biden.

All without a vaccine…",PO,negative
1.47E+18,2021-12-01 12:54:30+00:00,"@HooksandDragons @nottinghilldady @DorkusRob @RobinsoMartina @CuddleFairy @npklip @DadofDripsticks @BryonyAshaw @OMGitsagirl2015 @journalofjules @Spudsghost @Stellabranch @sandygill_ At last, an unexpected perk of long Covid!",SV,positive
1.47E+18,2021-12-01 12:54:30+00:00,"Vaccination schedule for COVAXIN (1st dose )only.Never let your guard down. Always follow COVID appropriate behavior.
#OdishaFightsCorona
#OdishaCares https://t.co/RRpjRY8XEL",VA,neutral
1.47E+18,2021-12-01 12:54:30+00:00,"SOUTH  CAROLINA’S  US  HOUSE  PROBLEM

@RepNancyMace talking out of both sides of her mouth.

She’s peddles one COVID message to @FoxNews viewers (natural immunity), and another entirely different one to @CNN viewers (the Dem line on masks, vaccines, etc).
https://t.co/inmA82zqa4",PO,negative
1.47E+18,2021-12-01 12:54:29+00:00,"Updated Covid guidance for schools does not go far enough, says UNISON 
https://t.co/gse0JuWkvh",RE,neutral
1.47E+18,2021-12-01 12:54:29+00:00,@PoliticsForAlI Mandatory vaccination for a vaccine that doesn’t even stop transmission 🤡,RE,negative
1.47E+18,2021-12-02 10:15:19+00:00,"#Gauteng Premier David Makhura says there is no need to panic as yet, but they are deeply concerned that people aren’t getting vaccinated. He says he wants to first persuade people to get the jab before it becomes mandatory. 8 million people in GP are still not vaccinated. #eNCA",RE,neutral
1.47E+18,2021-12-02 10:15:19+00:00,"@Leo_Cleo_ @moderna_tx I really wish I hadn’t of had it now, but I have soI I just have to wait for these horrendous side effects to pass",VA,negative
1.47E+18,2021-12-02 10:15:19+00:00,@RealEddieHobbs @ih8evrybdy Ah sure since September they’ve been going after the children will school go ahead? Will trick or treating be allowed? Teachers scared/out with covid. People believe what they’re told,CU,negative
1.47E+18,2021-12-02 10:15:18+00:00,@siana7772 March 2020 news broadcast exposing why malaria and Covid were not often together. Malaria medication. This was pre major censorship and jabs that make people sicker. https://t.co/4wbFZ0vb3c,VA,negative
1.47E+18,2021-12-02 10:15:18+00:00,"PREACH!! It’s so crazy we are minimising any covid infection, including breakthrough but paediatric MOST of all 😔 https://t.co/uvjJ9pDnPr",SV,positive
1.47E+18,2021-12-02 10:15:18+00:00,"Covid-19 Is a Chance to Build a new cities abc Magna Carta with 4IR, smart cities Tech, Blockchain AI #eHealth #frenchtech #health via https://t.co/5oYb0tyrsS https://t.co/LSqFdYdE8r",CU,positive
1.47E+18,2021-12-02 10:15:18+00:00,Biden asks businesses to proceed with vaccine mandate after omicron variant arrives in U.S. https://t.co/BnoHQdCVta,RE,neutral
1.47E+18,2021-12-02 10:15:18+00:00,@nordicmug @s_guilbeault He’s reducing his chances of getting covid by flying private 🤣,CU,neutral
1.47E+18,2021-12-02 10:15:18+00:00,"Very worrying development concerning ethics of COVID testing
👇👇👇👇👇👇👇

Covid test firm ‘to sell swabs carrying customers’ DNA’ https://t.co/kRNJ6BpHcu",RE,negative
1.47E+18,2021-11-30 08:00:26+00:00,"@Markfry809 The latest covid variant,omicron,is definitely NOT a hoax!The reckless degenerates you refer 2are Trump-Repubs, whose main priority is 2blame the Dems 4everything!🤷‍♀️🤷‍♂️👎",SV,positive
1.47E+18,2021-11-30 08:00:26+00:00,Editorial: Not enough is known about Merck pill to tell whether the benefits outweigh the risks.... https://t.co/hbWddtTk9B,RE,neutral
1.47E+18,2021-11-30 08:00:26+00:00,"BREAKING: The country logs 425 new COVID-19 cases—the lowest since July 2, 2020—pushing the nationwide tally to 2,832,734.

Click our live blog for more updates: https://t.co/YCeHKMBCCD https://t.co/B3QBM1gEpH",SV,neutral
1.47E+18,2021-11-30 08:00:26+00:00,"@MoFAICUAE UK covid cases well over 40 000 per day,South Africa 2000,yet UAE still allowing travelers from UK.The new variant was already present in other countries, SA was just first to identify it,there is no proof it originated in SA,people in UK spreading it themselves https://t.co/wOJnfPXcJm",PO,negative
1.47E+18,2021-11-30 08:00:25+00:00,"""Omicron Is Coming. The U.S. Must Act Now."" by Zeynep Tufekci via NYT https://t.co/LQ1olqr3zh https://t.co/bjO0sp9pdg",SV,neutral
1.47E+18,2021-11-30 08:00:25+00:00,@QwinDido @RhaduuXesibe Point: those who consider themselves vaccinated are not really vaccinated👌🤷‍♂️😂😂,VA,neutral
1.47E+18,2021-11-30 08:00:25+00:00,Omicron has drug companies preparing for the worst. Here are their plans to counterattack the newest COVID-19 variant. https://t.co/NK5GsGQkn4,RE,neutral
1.47E+18,2021-11-30 08:00:25+00:00,@auvius @fragnarplays @Barbara57595701 @DrAseemMalhotra @GBNEWS @angelovalidiya @respect65 @MordechaiSones @JCPEREZCODEX @SeghirMd @VolkerHD @palevell Not getting any vaccine that shit is a joke 🥱 I'll take my chances with the .02% chance virus.,VA,negative
